"date","home.team","home.score","away.team","away.score"
"05/03/18","Celta",14,"Las Palmas",10
"09/03/18","Girona",9,"La Coruna",8
"10/03/18","Eibar",12,"Real Madrid",12
"10/03/18","Getafe",11,"Levante",12
"10/03/18","Malaga",6,"Barcelona",20
"10/03/18","Sevilla",21,"Valencia",10
"11/03/18","Ath Bilbao",13,"Leganes",12
"11/03/18","Ath Madrid",7,"Celta",8
"11/03/18","Espanol",18,"Sociedad",11
"11/03/18","Las Palmas",9,"Villarreal",11
"12/03/18","Alaves",9,"Betis",10
"16/03/18","Levante",6,"Eibar",13
"17/03/18","Betis",9,"Espanol",4
"17/03/18","La Coruna",13,"Las Palmas",8
"17/03/18","Sociedad",8,"Getafe",9
"17/03/18","Valencia",24,"Alaves",16
"18/03/18","Barcelona",18,"Ath Bilbao",10
"18/03/18","Celta",9,"Malaga",5
"18/03/18","Leganes",12,"Sevilla",10
"18/03/18","Real Madrid",20,"Girona",10
"18/03/18","Villarreal",17,"Ath Madrid",8
"31/03/18","Ath Bilbao",11,"Celta",13
"31/03/18","Girona",12,"Levante",15
"31/03/18","Las Palmas",17,"Real Madrid",17
"31/03/18","Sevilla",21,"Barcelona",20
"01/04/18","Ath Madrid",15,"La Coruna",10
"01/04/18","Eibar",15,"Sociedad",7
"01/04/18","Espanol",12,"Alaves",13
"01/04/18","Leganes",8,"Valencia",3
"01/04/18","Malaga",13,"Villarreal",11
"02/04/18","Getafe",8,"Betis",7
"06/04/18","La Coruna",14,"Malaga",11
"07/04/18","Alaves",11,"Getafe",5
"07/04/18","Barcelona",12,"Leganes",11
"07/04/18","Betis",13,"Eibar",5
"07/04/18","Celta",12,"Sevilla",16
"08/04/18","Levante",11,"Las Palmas",17
"08/04/18","Real Madrid",30,"Ath Madrid",9
"08/04/18","Sociedad",13,"Girona",8
"08/04/18","Valencia",14,"Espanol",21
"09/04/18","Villarreal",7,"Ath Bilbao",17
"13/04/18","Girona",9,"Betis",10
"14/04/18","Ath Bilbao",13,"La Coruna",5
"14/04/18","Barcelona",12,"Valencia",17
"14/04/18","Las Palmas",7,"Sociedad",20
"14/04/18","Leganes",19,"Celta",5
"14/04/18","Sevilla",18,"Villarreal",7
"15/04/18","Ath Madrid",13,"Levante",11
"15/04/18","Eibar",21,"Alaves",2
"15/04/18","Getafe",13,"Espanol",5
"15/04/18","Malaga",13,"Real Madrid",16
"17/04/18","Celta",18,"Barcelona",14
"17/04/18","La Coruna",22,"Sevilla",24
"17/04/18","Villarreal",17,"Leganes",6
"18/04/18","Espanol",10,"Eibar",5
"18/04/18","Real Madrid",29,"Ath Bilbao",6
"18/04/18","Valencia",10,"Getafe",8
"19/04/18","Alaves",11,"Girona",14
"19/04/18","Betis",17,"Las Palmas",1
"19/04/18","Levante",11,"Malaga",10
